Nom de l'entreprise;SIREN;Chiffre d'affaires;Marge nette
BENHAYOUN ASSOCIES EXPERTISE COMPTABLE;443880265;1505602;1
ACTION BETON COUPE;751749565;1517060;13
S.T.C. - SOCIETE DE TRANSPORTS CLERMONTOIS;832338016;1860384;-34
GTI GARDANNE TRAVAUX INDUSTRIELS;381178110;1869761;1
NORDISK CLEAN SOLUTIONS SARL;424423713;1557874;9
PHARMACIE BARTOLINI;388149338;1810229;8
' L'INDIANA'.;501787766;1550246;12
CINEMA LES VARIETES;825014426;1726305;3
GOLF DE MARSEILLE LA SALETTE;405390808;1747042;10
INDEVHO;804750362;1713972;-181
BIOCYTEX;347897985;1748628;-57
OGLUTE;500286257;1776957;6
SODELITT 1;408340602;1896273;-7
FICOREC AUDIT;383916608;1679149;7
AFIREC CONSULTANTS;397964818;1602935;26
NETFORM;512744129;1700639;22
SL IMMOBILIER;832116511;1581933;1
VILLA SAINT JULIEN;789418225;1916420;7
GARDEN CITY;531378198;1725139;31
E.M.C ELECTRICITE MACONNERIE CONSTRUCTION;504609249;1888090;4
CASTELLET HOSPITALITY;830938239;1565916;58
PRIMALU EURL;451010409;1947084;0
A.D.M CUISINES;529541419;1562208;1
HR EX BOUC BEL AIR;501655625;1569925;2
ANOUCH;803942846;1846783;2
MOTORTECH TOULON;751899477;1614426;1
MAXICOFFEE CONCEPT STORE PDC;881236277;1786405;-7
MISTRAL SERVICES;498407352;1880657;3
EQUIPEPS;510349319;1852407;2
LIC;892022583;1891992;6
PEINTURES DU SUD AIX EN PCE;500864731;1867378;4
AGILENVILLE;843154121;1678504;0
AKKA CREATIONS;477599971;1727343;0
ECOGIA;488069642;1759066;3
OFFICE PROVENCAL DE NETTOYAGE;498821305;1662318;3
CEISS CONSEILS ETUDE INSTALL SYSTEMES SECURITE;440960888;1689873;-7
2F1C;803923770;1564444;19
GROUPE NOEMYS;522380245;1905263;-167
BIANGREG;852608231;1882423;-2
B.E.C. M.P.;487626251;1908209;9
LENI;829241090;1926286;-40
S.E.C.S.;812213965;1713250;2
HYES HYGIENE ENVIRONNEMENT SERVICES;535383244;1898298;2
QUICK MS;837956408;1718133;-69
TERRA COM TP;837919216;1574171;6
RESTAURANT DI*TREVI;434774279;1977161;0
COMPAGNIE DES PISCINES BR;795040013;1808712;0
PRODIS ALIMENTAIRE;823983259;1758977;4
AUBACOM;409053899;1572534;16
LA PHOCEENNE DE CONSTRUCTION ET D ISOLATION;751915745;1547828;-17
S.13;328998737;1745066;7
ARKADIA SERVICES;751805813;1797225;3
HOTELIERE RABATAU;435231113;1814312;-5
SOCIETE NOUVELLE AMBULANCES PATRICK;798232419;1642891;7
SOC CTE S.A.S. - CONTROLE TECH EUR;414667055;1923143;1
GGV;851745554;1987125;4
WEG WOJCIK ENTREPRISE;402516520;1990099;-20
ROUVIERE RENOVATION;892135815;1621916;2
LES PERVENCHES;325048502;1710857;3
PHOCEMOOVE;793217753;1778392;2
BIOSEB;528242787;1888033;-4
ALPHA OMEGA;342904976;1941962;25
FOUFOUR ENTREPRISE;500951447;1548979;10
CENTRALL;852560945;1906763;4
PTP 2000 PROVENCE TRAVAUX PUBLICS 2000;433478351;1818747;8
GRIIN AUBAGNE;841904717;1775391;2
MCM;480779842;1785493;6
FERMECO;393357132;1658522;5
CARPINUS;798020616;1694954;-16
PELLAGO;881919203;1639874;116
JODADO;817784804;1852035;3
SERVICES TECHNIQUES ASSAINISSEMENT;339142333;1524723;18
MARSEPADIS;804949337;1998565;-12
P M B PROVENCE MEDITERRANEE BATIMENT;432128528;1921416;14
TMBI FRANCE;508702727;1890772;2
COGITO;503424897;1658805;22
O.T.R OLYMPIQUE TRANSPORTS REGIONAUX;534424767;1505942;6
A.L.C. AUTOCARS LAURENT CAIZZA;810175018;1874550;2
CEIBO;403024326;1973312;4
OTELEC;751449273;1708993;2
FIBRECOUNT FRANCE;801713082;1666974;-1
JUNIOR VELIZY;852186329;1743974;-49
MS DISTRIBUTION;402267454;1852010;40
LE DOMAINE;340282003;1982622;1
TIM TECHNIQUES INDUSTRIELLES DE MANUTENTION;317220614;1516197;-4
SELAS PHARMACIE DES PALMIERS;792381311;1983509;5
ONE ISSY;913834941;1857977;-9
HOTELIERE BELSUNCE BOURSE;529988115;1763110;-14
LAURA;431637230;1949350;10
RESTAURANT MICHEL;401387998;1807310;3
K13 SECURITE;879739233;1761967;1
SAMALI;419271093;1590019;4
CALIMED SANTE;499602894;1996836;19
LOGILINK;485208854;1823777;16
OPTIMA PREVENTION;500504451;1973799;8
CMHE COMPAGNIE MARSEILLAISE D HOTELLERIE ECONOMIQUE;398966432;1834392;37
MOBIMARS;852188564;1767433;5
SENIDECO FRANCE;403832991;1915922;7
PROMOREAL;384680492;1550945;-22
FIRST COM;415038975;1613033;3
GECC BBR ENTREPRISES;539281758;1602497;13
PHARMACIE SOMMER;530055151;1501108;3
CABINET TARIOT;344406848;1911042;-3
SERVIMO PROVENCE;878637602;1540922;15
SOCIETE DU GRAND MODERN'HOTEL;057814352;1512726;23
